SCHOOL_CODE,SCHOOL_NAME,NETWORK
610203,MONARCAS,Network 8
610096,NIGHTINGALE,Network 8
610117,PASTEUR,Network 8
610226,SANDOVAL,Network 8
610157,SAWYER,Network 8
610167,SEWARD,Network 8
610172,SHERMAN,Network 8
610174,SHIELDS,Network 8
610559,SHIELDS MIDDLE,Network 8
610589,SOR JUANA,Network 8
610249,TALMAN,Network 8
609951,ARIEL,Network 9
610246,BEASLEY,Network 9
610237,BEETHOVEN,Network 9
610590,BRONZEVILLE CLASSICAL,Network 9
609819,BURKE,Network 9
609837,CARNEGIE,Network 9
609844,CARTER,Network 9
609891,DOOLITTLE,Network 9
609894,DRAKE,Network 9
610263,DULLES,Network 9
609928,FARMER,Network 9
609919,FISKE,Network 9
609969,HARTE,Network 9
609987,HENDRICKS,Network 9
610030,KOZMINSKI,Network 9
610276,MOLLISON,Network 9
610090,MURRAY,Network 9
610126,PERSHING,Network 9
610142,RAY,Network 9
610143,REAVIS,Network 9
610256,ROBINSON,Network 9
610175,SHOESMITH,Network 9
610065,TILL,Network 9
610213,WADSWORTH,Network 9
610110,WELLS ES,Network 9
609977,WOODLAWN,Network 9
610345,WOODSON,Network 9
910496,0482 VIRTUAL HR EVE,No Network
310496,0482 VIRTUAL HR SUM,No Network
850117,4 EVER YOUNG,No Network
800088,AAA ACADEMY,No Network
800090,AAA ACADEMY II,No Network
800089,AAA ACADEMY INTENSIVE,No Network
800300,ACACIA - BURR RIDGE,No Network
800037,ACACIA ACADEMY - INTENSIVE ES,No Network
800038,ACACIA ACADEMY - INTENSIVE HS,No Network
800035,ACACIA ACADEMY ES,No Network
800036,ACACIA ACADEMY HS,No Network
850014,ADA S MCKINLEY COMM SRVCS,No Network
909772,ADDAMS EVE,No Network
309772,ADDAMS SUM,No Network
910513,AIR FORCE HS EVE,No Network
310513,AIR FORCE HS SUM,No Network
850018,ALBANY PARK COMM CTR - KIMBALL,No Network
910212,ALBANY PARK EVE,No Network
310212,ALBANY PARK SUM,No Network
909774,ALCOTT ES EVE,No Network
309774,ALCOTT ES SUM,No Network
910524,ALCOTT HS EVE,No Network
310524,ALCOTT HS SUM,No Network
909848,ALDRIDGE EVE,No Network
309848,ALDRIDGE SUM,No Network
850019,ALL STAR KIDS ACADEMY,No Network
800156,ALLENDALE RES SCHOOL PROG - INT ES,No Network
800157,ALLENDALE RES SCHOOL PROG - INT HS,No Network
800154,ALLENDALE RESIDENTIAL SCHL PROG ES,No Network
800155,ALLENDALE RESIDENTIAL SCHL PROG HS,No Network
850021,ALLISONS INFANT AND TODDER CENTER,No Network
850022,ALLISONS INFANT AND TODDLER - 71ST,No Network
850020,ALLISONS INFANT AND TODDLER - NORTH CAMPUS,No Network
909695,AMUNDSEN HS EVE,No Network
309695,AMUNDSEN HS SUM,No Network
800244,ANDREW HS,No Network
850039,ARCDOCESE CHICAGO ARTS OF LVNG,No Network
850145,ARCHDIOCS CHICAGO - ST ETHELREDA,No Network
909951,ARIEL EVE,No Network
309951,ARIEL SUM,No Network
800117,ARLYN DAY SCHOOL - EXTENDED ES,No Network
800118,ARLYN DAY SCHOOL - EXTENDED HS,No Network
800115,ARLYN DAY SCHOOL ES,No Network
800116,ARLYN DAY SCHOOL HS,No Network
800119,ARLYN TRANSITION PROGRAM,No Network
800120,ARLYN TRANSITION PROGRAM-INTENSIVE,No Network
909777,ARMOUR EVE,No Network
309777,ARMOUR SUM,No Network
909779,ARMSTRONG G EVE,No Network
309779,ARMSTRONG G SUM,No Network
910287,ASHBURN EVE,No Network
310287,ASHBURN SUM,No Network
910268,ASHE EVE,No Network
310268,ASHE SUM,No Network
850023,ASIAN HUMAN SERVICE-LEAF PROGRAM,No Network
909782,AUDUBON EVE,No Network
309782,AUDUBON SUM,No Network
910518,AUSTIN CCA HS EVE,No Network
310518,AUSTIN CCA HS SUM,No Network
909786,AVALON PARK EVE,No Network
309786,AVALON PARK SUM,No Network
910325,AVONDALE-LOGANDALE EVE,No Network
310325,AVONDALE-LOGANDALE SUM,No Network
910544,AZUELA EVE,No Network
310544,AZUELA SUM,No Network
910563,BACK OF THE YARDS HS EVE,No Network
310563,BACK OF THE YARDS HS SUM,No Network
800000,BANNER THERAPEUTIC ES,No Network
800001,BANNER THERAPEUTIC HS,No Network
909788,BARNARD EVE,No Network
309788,BARNARD SUM,No Network
909789,BARRY EVE,No Network
309789,BARRY SUM,No Network
909790,BARTON EVE,No Network
309790,BARTON SUM,No Network
909791,BASS EVE,No Network
309791,BASS SUM,No Network
909792,BATEMAN EVE,No Network
309792,BATEMAN SUM,No Network
850221,BBF FAMILY SERVICES,No Network
800002,BEACON THERAPEUTIC ES,No Network
800003,BEACON THERAPEUTIC HS,No Network
910083,BEARD EVE,No Network
310083,BEARD SUM,No Network
910246,BEASLEY EVE,No Network
310246,BEASLEY SUM,No Network
909796,BEAUBIEN EVE,No Network
309796,BEAUBIEN SUM,No Network
910237,BEETHOVEN EVE,No Network
310237,BEETHOVEN SUM,No Network
909797,BEIDLER EVE,No Network
309797,BEIDLER SUM,No Network
909798,BELDING EVE,No Network
309798,BELDING SUM,No Network
909799,BELL EVE,No Network
800267,BELL MONTESSORI INT,No Network
309799,BELL SUM,No Network
800224,BELLEFAIRE-MONARCH SCHOOL ES,No Network
800225,BELLEFAIRE-MONARCH SCHOOL HS,No Network
909922,BELMONT-CRAGIN EVE,No Network
309922,BELMONT-CRAGIN SUM,No Network
909800,BENNETT EVE,No Network
309800,BENNETT SUM,No Network
800313,BLACK BEAR,No Network
910350,BLACK EVE,No Network
310350,BLACK SUM,No Network
909803,BLAINE EVE,No Network
309803,BLAINE SUM,No Network
910087,BLAIR EVE,No Network
310087,BLAIR SUM,No Network
909698,BOGAN HS EVE,No Network
309698,BOGAN HS SUM,No Network
910238,BOND EVE,No Network
310238,BOND SUM,No Network
909804,BOONE EVE,No Network
309804,BOONE SUM,No Network
800222,BOSTON HIGASHI - EXTENDED ES,No Network
800223,BOSTON HIGASHI - EXTENDED HS,No Network
909815,BOUCHET EVE,No Network
309815,BOUCHET SUM,No Network
910323,BOWEN HS EVE,No Network
310323,BOWEN HS SUM,No Network
909806,BRADWELL EVE,No Network
309806,BRADWELL SUM,No Network
800291,BRAIN BOX ES,No Network
850030,BRAIN BOX LITERACY ACAD AND EDUC,No Network
850031,BREAKTHROUGH BEGINNERS,No Network
910242,BRENNEMANN EVE,No Network
310242,BRENNEMANN SUM,No Network
909809,BRENTANO EVE,No Network
309809,BRENTANO SUM,No Network
909810,BRIDGE EVE,No Network
309810,BRIDGE SUM,No Network
800142,BRIDGEPOINT ACAD OF ORLAND PARK,No Network
909811,BRIGHT EVE,No Network
850001,BRIGHT SCHOLARS,No Network
850083,BRIGHT SCHOLARS - EL VALOR,No Network
309811,BRIGHT SUM,No Network
800296,BRIGHTMONT NORTHFIELD HS,No Network
910317,BRIGHTON PARK EVE,No Network
310317,BRIGHTON PARK SUM,No Network
800212,BROADSTEP - ILLINOIS ES,No Network
800213,BROADSTEP - ILLINOIS HS,No Network
800210,BROADSTEP - ILLINOIS INTENSIVE ES,No Network
800211,BROADSTEP - ILLINOIS INTENSIVE HS,No Network
910590,BRONZEVILLE CLASSICAL EVE,No Network
310590,BRONZEVILLE CLASSICAL SUM,No Network
910381,BRONZEVILLE HS EVE,No Network
310381,BRONZEVILLE HS SUM,No Network
909726,BROOKS HS EVE,No Network
309726,BROOKS HS SUM,No Network
910091,BROWN R EVE,No Network
310091,BROWN R SUM,No Network
909812,BROWN W EVE,No Network
309812,BROWN W SUM,No Network
909813,BROWNELL EVE,No Network
309813,BROWNELL SUM,No Network
909830,BRUNSON EVE,No Network
309830,BRUNSON SUM,No Network
909817,BUDLONG EVE,No Network
309817,BUDLONG SUM,No Network
850002,BUNNYLAND DAY CARE,No Network
909818,BURBANK EVE,No Network
309818,BURBANK SUM,No Network
909819,BURKE EVE,No Network
309819,BURKE SUM,No Network
909820,BURLEY EVE,No Network
309820,BURLEY SUM,No Network
909821,BURNHAM EVE,No Network
309821,BURNHAM SUM,No Network
909827,BURNSIDE EVE,No Network
309827,BURNSIDE SUM,No Network
909828,BURR EVE,No Network
309828,BURR SUM,No Network
909829,BURROUGHS EVE,No Network
309829,BURROUGHS SUM,No Network
850032,BUSY BUMBLE BEE LEARNING ACADEMY,No Network
909832,BYRNE EVE,No Network
309832,BYRNE SUM,No Network
850055,C Y C - DOROTHY GAUTREAUX,No Network
909833,CALDWELL EVE,No Network
309833,CALDWELL SUM,No Network
910353,CALMECA EVE,No Network
310353,CALMECA SUM,No Network
800218,CALO ES,No Network
800219,CALO HS,No Network
910565,CAMELOT - EXCEL ENGLEWOOD HS EVE,No Network
310565,CAMELOT - EXCEL ENGLEWOOD HS SUM,No Network
910572,CAMELOT - SAFE ES EVE,No Network
310572,CAMELOT - SAFE ES SUM,No Network
910573,CAMELOT - SAFE HS EVE,No Network
310573,CAMELOT - SAFE HS SUM,No Network
800083,CAMELOT THERAP-MT PROSPECT ES,No Network
800084,CAMELOT THERAP-MT PROSPECT HS,No Network
800085,CAMELOT THERAP-MT PROSPECT-INT ES,No Network
800086,CAMELOT THERAP-MT PROSPECT-INT HS,No Network
909835,CAMERON EVE,No Network
309835,CAMERON SUM,No Network
910539,CAMRAS EVE,No Network
310539,CAMRAS SUM,No Network
909836,CANTY EVE,No Network
309836,CANTY SUM,No Network
910024,CARDENAS EVE,No Network
