SCHOOL_CODE,SCHOOL_NAME,NETWORK
850127,STAR KIDS MATH AND SCIENCE ACAD,
850127,STAR KIDS MATH AND SCIENCE ACAD,
610522,STATE PRE-K PROG,
610522,STATE PRE-K PROG,
910522,STATE PRE-K PROG EVE,
910522,STATE PRE-K PROG EVE,
310522,STATE PRE-K PROG SUM,
310522,STATE PRE-K PROG SUM,
909732,STEINMETZ HS EVE,
909732,STEINMETZ HS EVE,
309732,STEINMETZ HS SUM,
309732,STEINMETZ HS SUM,
910548,STEM EVE,
910548,STEM EVE,
310548,STEM SUM,
310548,STEM SUM,
850015,STEPPING STONES EC CENTER,
850015,STEPPING STONES EC CENTER,
910185,STEVENSON EVE,
910185,STEVENSON EVE,
310185,STEVENSON SUM,
310185,STEVENSON SUM,
910163,STOCK EVE,
910163,STOCK EVE,
310163,STOCK SUM,
310163,STOCK SUM,
910191,STONE EVE,
910191,STONE EVE,
310191,STONE SUM,
310191,STONE SUM,
910192,STOWE EVE,
910192,STOWE EVE,
310192,STOWE SUM,
310192,STOWE SUM,
910405,SUDER EVE,
910405,SUDER EVE,
310405,SUDER SUM,
310405,SUDER SUM,
909733,SULLIVAN HS EVE,
909733,SULLIVAN HS EVE,
309733,SULLIVAN HS SUM,
309733,SULLIVAN HS SUM,
910194,SUMNER EVE,
910194,SUMNER EVE,
310194,SUMNER SUM,
310194,SUMNER SUM,
910195,SUTHERLAND EVE,
910195,SUTHERLAND EVE,
310195,SUTHERLAND SUM,
310195,SUTHERLAND SUM,
800236,SWANN SPECIAL CARE-ELEMENTARY,
800236,SWANN SPECIAL CARE-ELEMENTARY,
800237,SWANN SPECIAL CARE-SECONDARY,
800237,SWANN SPECIAL CARE-SECONDARY,
850223,SWEET PEA ACADEMY,
850223,SWEET PEA ACADEMY,
910196,SWIFT EVE,
910196,SWIFT EVE,
310196,SWIFT SUM,
310196,SWIFT SUM,
909734,TAFT HS EVE,
909734,TAFT HS EVE,
309734,TAFT HS SUM,
309734,TAFT HS SUM,
910197,TALCOTT EVE,
910197,TALCOTT EVE,
310197,TALCOTT SUM,
